 num     #instances         #bytes  class name (module)
 325:             1             16  java.lang.ref.Cleaner (java.base@19.0.1)
 326:             1             16  java.lang.ref.Cleaner$1 (java.base@19.0.1)
 327:             1             16  java.lang.ref.Reference$1 (java.base@19.0.1)
 328:             1             16  java.lang.reflect.ReflectAccess (java.base@19.0.1)
 329:             1             16  java.net.URI$1 (java.base@19.0.1)
 330:             1             16  java.net.URL$3 (java.base@19.0.1)
 331:             1             16  java.net.URL$DefaultFactory (java.base@19.0.1)
 332:             1             16  java.nio.Buffer$1 (java.base@19.0.1)
 333:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@19.0.1)
 334:             1             16  java.util.AbstractMap$1 (java.base@19.0.1)
 335:             1             16  java.util.Collections$EmptyList (java.base@19.0.1)
 336:             1             16  java.util.Collections$EmptySet (java.base@19.0.1)
 337:             1             16  java.util.HashMap$EntrySet (java.base@19.0.1)
 338:             1             16  java.util.WeakHashMap$KeySet (java.base@19.0.1)
 339:             1             16  java.util.regex.CharPredicates$$Lambda$16/0x800000024 (java.base@19.0.1)
 340:             1             16  java.util.regex.Pattern$LastNode (java.base@19.0.1)
 341:             1             16  java.util.regex.Pattern$Node (java.base@19.0.1)
 342:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@19.0.1)
 343:             1             16  jdk.internal.misc.Unsafe (java.base@19.0.1)
 344:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@19.0.1)
 345:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@19.0.1)
 346:             1             16  jdk.internal.module.ModulePatcher (java.base@19.0.1)
 347:             1             16  jdk.internal.module.ModuleTarget (java.base@19.0.1)
 348:             1             16  jdk.internal.module.SystemModules$default (java.base@19.0.1)
 349:             1             16  jdk.internal.ref.CleanerFactory$1 (java.base@19.0.1)
 350:             1             16  jdk.internal.reflect.DirectConstructorHandleAccessor$NativeAccessor (java.base@19.0.1)
 351:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@19.0.1)
 352:             1             16  jdk.internal.util.Preconditions$1 (java.base@19.0.1)
 353:             1             16  jdk.internal.util.Preconditions$2 (java.base@19.0.1)
 354:             1             16  jdk.internal.util.Preconditions$3 (java.base@19.0.1)
 355:             1             16  jdk.internal.util.SystemProps$Raw (java.base@19.0.1)
 356:             1             16  jdk.internal.vm.PostVMInitHook$2 (java.base@19.0.1)
 357:             1             16  sun.net.www.protocol.file.Handler (java.base@19.0.1)
Total         17692        4027160
